emoji,codepoint,occurrences,negative,neutral,positive,name,block,primary_emotion
🚵‍♂️,0x1f6b5 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING,People & Body,Neutral
🚵🏻‍♂️,0x1f6b5 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING: LIGHT SKIN TONE,People & Body,Neutral
🚵🏼‍♂️,0x1f6b5 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🚵🏽‍♂️,0x1f6b5 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING: MEDIUM SKIN TONE,People & Body,Neutral
🚵🏾‍♂️,0x1f6b5 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🚵🏿‍♂️,0x1f6b5 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN MOUNTAIN BIKING: DARK SKIN TONE,People & Body,Neutral
🚵‍♀️,0x1f6b5 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING,People & Body,Neutral
🚵🏻‍♀️,0x1f6b5 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING: LIGHT SKIN TONE,People & Body,Neutral
🚵🏼‍♀️,0x1f6b5 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🚵🏽‍♀️,0x1f6b5 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING: MEDIUM SKIN TONE,People & Body,Neutral
🚵🏾‍♀️,0x1f6b5 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🚵🏿‍♀️,0x1f6b5 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN MOUNTAIN BIKING: DARK SKIN TONE,People & Body,Neutral
🤸,0x1f938,1000,100,400,500,PERSON CARTWHEELING,People & Body,Neutral
🤸🏻,0x1f938 0x1f3fb,1000,100,400,500,PERSON CARTWHEELING: LIGHT SKIN TONE,People & Body,Neutral
🤸🏼,0x1f938 0x1f3fc,1000,100,400,500,PERSON CARTWHEELING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤸🏽,0x1f938 0x1f3fd,1000,100,400,500,PERSON CARTWHEELING: MEDIUM SKIN TONE,People & Body,Neutral
🤸🏾,0x1f938 0x1f3fe,1000,100,400,500,PERSON CARTWHEELING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤸🏿,0x1f938 0x1f3ff,1000,100,400,500,PERSON CARTWHEELING: DARK SKIN TONE,People & Body,Neutral
🤸‍♂️,0x1f938 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING,People & Body,Neutral
🤸🏻‍♂️,0x1f938 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING: LIGHT SKIN TONE,People & Body,Neutral
🤸🏼‍♂️,0x1f938 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤸🏽‍♂️,0x1f938 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING: MEDIUM SKIN TONE,People & Body,Neutral
🤸🏾‍♂️,0x1f938 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤸🏿‍♂️,0x1f938 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN CARTWHEELING: DARK SKIN TONE,People & Body,Neutral
🤸‍♀️,0x1f938 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING,People & Body,Neutral
🤸🏻‍♀️,0x1f938 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING: LIGHT SKIN TONE,People & Body,Neutral
🤸🏼‍♀️,0x1f938 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤸🏽‍♀️,0x1f938 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING: MEDIUM SKIN TONE,People & Body,Neutral
🤸🏾‍♀️,0x1f938 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤸🏿‍♀️,0x1f938 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN CARTWHEELING: DARK SKIN TONE,People & Body,Neutral
🤼,0x1f93c,1000,100,400,500,PEOPLE WRESTLING,People & Body,Neutral
🤼‍♂️,0x1f93c 0x200d 0x2642 0xfe0f,1000,100,400,500,MEN WRESTLING,People & Body,Neutral
🤼‍♀️,0x1f93c 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMEN WRESTLING,People & Body,Neutral
🤽,0x1f93d,1000,100,400,500,PERSON PLAYING WATER POLO,People & Body,Neutral
🤽🏻,0x1f93d 0x1f3fb,1000,100,400,500,PERSON PLAYING WATER POLO: LIGHT SKIN TONE,People & Body,Neutral
🤽🏼,0x1f93d 0x1f3fc,1000,100,400,500,PERSON PLAYING WATER POLO: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤽🏽,0x1f93d 0x1f3fd,1000,100,400,500,PERSON PLAYING WATER POLO: MEDIUM SKIN TONE,People & Body,Neutral
🤽🏾,0x1f93d 0x1f3fe,1000,100,400,500,PERSON PLAYING WATER POLO: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤽🏿,0x1f93d 0x1f3ff,1000,100,400,500,PERSON PLAYING WATER POLO: DARK SKIN TONE,People & Body,Neutral
🤽‍♂️,0x1f93d 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO,People & Body,Neutral
🤽🏻‍♂️,0x1f93d 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO: LIGHT SKIN TONE,People & Body,Neutral
🤽🏼‍♂️,0x1f93d 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤽🏽‍♂️,0x1f93d 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO: MEDIUM SKIN TONE,People & Body,Neutral
🤽🏾‍♂️,0x1f93d 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤽🏿‍♂️,0x1f93d 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING WATER POLO: DARK SKIN TONE,People & Body,Neutral
🤽‍♀️,0x1f93d 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO,People & Body,Neutral
🤽🏻‍♀️,0x1f93d 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO: LIGHT SKIN TONE,People & Body,Neutral
🤽🏼‍♀️,0x1f93d 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤽🏽‍♀️,0x1f93d 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO: MEDIUM SKIN TONE,People & Body,Neutral
🤽🏾‍♀️,0x1f93d 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤽🏿‍♀️,0x1f93d 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING WATER POLO: DARK SKIN TONE,People & Body,Neutral
🤾,0x1f93e,1000,100,400,500,PERSON PLAYING HANDBALL,People & Body,Neutral
🤾🏻,0x1f93e 0x1f3fb,1000,100,400,500,PERSON PLAYING HANDBALL: LIGHT SKIN TONE,People & Body,Neutral
🤾🏼,0x1f93e 0x1f3fc,1000,100,400,500,PERSON PLAYING HANDBALL: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤾🏽,0x1f93e 0x1f3fd,1000,100,400,500,PERSON PLAYING HANDBALL: MEDIUM SKIN TONE,People & Body,Neutral
🤾🏾,0x1f93e 0x1f3fe,1000,100,400,500,PERSON PLAYING HANDBALL: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤾🏿,0x1f93e 0x1f3ff,1000,100,400,500,PERSON PLAYING HANDBALL: DARK SKIN TONE,People & Body,Neutral
🤾‍♂️,0x1f93e 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL,People & Body,Neutral
🤾🏻‍♂️,0x1f93e 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL: LIGHT SKIN TONE,People & Body,Neutral
🤾🏼‍♂️,0x1f93e 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤾🏽‍♂️,0x1f93e 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL: MEDIUM SKIN TONE,People & Body,Neutral
🤾🏾‍♂️,0x1f93e 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤾🏿‍♂️,0x1f93e 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN PLAYING HANDBALL: DARK SKIN TONE,People & Body,Neutral
🤾‍♀️,0x1f93e 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL,People & Body,Neutral
🤾🏻‍♀️,0x1f93e 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL: LIGHT SKIN TONE,People & Body,Neutral
🤾🏼‍♀️,0x1f93e 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤾🏽‍♀️,0x1f93e 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL: MEDIUM SKIN TONE,People & Body,Neutral
🤾🏾‍♀️,0x1f93e 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤾🏿‍♀️,0x1f93e 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN PLAYING HANDBALL: DARK SKIN TONE,People & Body,Neutral
🤹,0x1f939,1000,100,400,500,PERSON JUGGLING,People & Body,Neutral
🤹🏻,0x1f939 0x1f3fb,1000,100,400,500,PERSON JUGGLING: LIGHT SKIN TONE,People & Body,Neutral
🤹🏼,0x1f939 0x1f3fc,1000,100,400,500,PERSON JUGGLING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤹🏽,0x1f939 0x1f3fd,1000,100,400,500,PERSON JUGGLING: MEDIUM SKIN TONE,People & Body,Neutral
🤹🏾,0x1f939 0x1f3fe,1000,100,400,500,PERSON JUGGLING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤹🏿,0x1f939 0x1f3ff,1000,100,400,500,PERSON JUGGLING: DARK SKIN TONE,People & Body,Neutral
🤹‍♂️,0x1f939 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING,People & Body,Neutral
🤹🏻‍♂️,0x1f939 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING: LIGHT SKIN TONE,People & Body,Neutral
🤹🏼‍♂️,0x1f939 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤹🏽‍♂️,0x1f939 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING: MEDIUM SKIN TONE,People & Body,Neutral
🤹🏾‍♂️,0x1f939 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤹🏿‍♂️,0x1f939 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN JUGGLING: DARK SKIN TONE,People & Body,Neutral
🤹‍♀️,0x1f939 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING,People & Body,Neutral
🤹🏻‍♀️,0x1f939 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING: LIGHT SKIN TONE,People & Body,Neutral
🤹🏼‍♀️,0x1f939 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🤹🏽‍♀️,0x1f939 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING: MEDIUM SKIN TONE,People & Body,Neutral
🤹🏾‍♀️,0x1f939 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🤹🏿‍♀️,0x1f939 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN JUGGLING: DARK SKIN TONE,People & Body,Neutral
🧘,0x1f9d8,1000,100,400,500,PERSON IN LOTUS POSITION,People & Body,Neutral
🧘🏻,0x1f9d8 0x1f3fb,1000,100,400,500,PERSON IN LOTUS POSITION: LIGHT SKIN TONE,People & Body,Neutral
🧘🏼,0x1f9d8 0x1f3fc,1000,100,400,500,PERSON IN LOTUS POSITION: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧘🏽,0x1f9d8 0x1f3fd,1000,100,400,500,PERSON IN LOTUS POSITION: MEDIUM SKIN TONE,People & Body,Neutral
🧘🏾,0x1f9d8 0x1f3fe,1000,100,400,500,PERSON IN LOTUS POSITION: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧘🏿,0x1f9d8 0x1f3ff,1000,100,400,500,PERSON IN LOTUS POSITION: DARK SKIN TONE,People & Body,Neutral
🧘‍♂️,0x1f9d8 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION,People & Body,Neutral
🧘🏻‍♂️,0x1f9d8 0x1f3fb 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION: LIGHT SKIN TONE,People & Body,Neutral
🧘🏼‍♂️,0x1f9d8 0x1f3fc 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧘🏽‍♂️,0x1f9d8 0x1f3fd 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION: MEDIUM SKIN TONE,People & Body,Neutral
🧘🏾‍♂️,0x1f9d8 0x1f3fe 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧘🏿‍♂️,0x1f9d8 0x1f3ff 0x200d 0x2642 0xfe0f,1000,100,400,500,MAN IN LOTUS POSITION: DARK SKIN TONE,People & Body,Neutral
🧘‍♀️,0x1f9d8 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION,People & Body,Neutral
🧘🏻‍♀️,0x1f9d8 0x1f3fb 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION: LIGHT SKIN TONE,People & Body,Neutral
🧘🏼‍♀️,0x1f9d8 0x1f3fc 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧘🏽‍♀️,0x1f9d8 0x1f3fd 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION: MEDIUM SKIN TONE,People & Body,Neutral
🧘🏾‍♀️,0x1f9d8 0x1f3fe 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧘🏿‍♀️,0x1f9d8 0x1f3ff 0x200d 0x2640 0xfe0f,1000,100,400,500,WOMAN IN LOTUS POSITION: DARK SKIN TONE,People & Body,Neutral
🛀,0x1f6c0,1000,100,400,500,PERSON TAKING BATH,People & Body,Neutral
🛀🏻,0x1f6c0 0x1f3fb,1000,100,400,500,PERSON TAKING BATH: LIGHT SKIN TONE,People & Body,Neutral
🛀🏼,0x1f6c0 0x1f3fc,1000,100,400,500,PERSON TAKING BATH: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🛀🏽,0x1f6c0 0x1f3fd,1000,100,400,500,PERSON TAKING BATH: MEDIUM SKIN TONE,People & Body,Neutral
🛀🏾,0x1f6c0 0x1f3fe,1000,100,400,500,PERSON TAKING BATH: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🛀🏿,0x1f6c0 0x1f3ff,1000,100,400,500,PERSON TAKING BATH: DARK SKIN TONE,People & Body,Neutral
🛌,0x1f6cc,1000,100,400,500,PERSON IN BED,People & Body,Neutral
🛌🏻,0x1f6cc 0x1f3fb,1000,100,400,500,PERSON IN BED: LIGHT SKIN TONE,People & Body,Neutral
🛌🏼,0x1f6cc 0x1f3fc,1000,100,400,500,PERSON IN BED: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🛌🏽,0x1f6cc 0x1f3fd,1000,100,400,500,PERSON IN BED: MEDIUM SKIN TONE,People & Body,Neutral
🛌🏾,0x1f6cc 0x1f3fe,1000,100,400,500,PERSON IN BED: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🛌🏿,0x1f6cc 0x1f3ff,1000,100,400,500,PERSON IN BED: DARK SKIN TONE,People & Body,Neutral
🧑‍🤝‍🧑,0x1f9d1 0x200d 0x1f91d 0x200d 0x1f9d1,1000,100,400,500,PEOPLE HOLDING HANDS,People & Body,Neutral
🧑🏻‍🤝‍🧑🏻,0x1f9d1 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fb,1000,100,400,500,PEOPLE HOLDING HANDS: LIGHT SKIN TONE,People & Body,Neutral
🧑🏻‍🤝‍🧑🏼,0x1f9d1 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fc,1000,100,400,500,"PEOPLE HOLDING HANDS: LIGHT SKIN TONE, MEDIUM-LIGHT SKIN TONE",People & Body,Neutral
🧑🏻‍🤝‍🧑🏽,0x1f9d1 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fd,1000,100,400,500,"PEOPLE HOLDING HANDS: LIGHT SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
🧑🏻‍🤝‍🧑🏾,0x1f9d1 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fe,1000,100,400,500,"PEOPLE HOLDING HANDS: LIGHT SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
🧑🏻‍🤝‍🧑🏿,0x1f9d1 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3ff,1000,100,400,500,"PEOPLE HOLDING HANDS: LIGHT SKIN TONE, DARK SKIN TONE",People & Body,Neutral
🧑🏼‍🤝‍🧑🏻,0x1f9d1 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fb,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, LIGHT SKIN TONE",People & Body,Neutral
🧑🏼‍🤝‍🧑🏼,0x1f9d1 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fc,1000,100,400,500,PEOPLE HOLDING HANDS: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
🧑🏼‍🤝‍🧑🏽,0x1f9d1 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fd,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
🧑🏼‍🤝‍🧑🏾,0x1f9d1 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fe,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
🧑🏼‍🤝‍🧑🏿,0x1f9d1 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3ff,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, DARK SKIN TONE",People & Body,Neutral
🧑🏽‍🤝‍🧑🏻,0x1f9d1 0x1f3fd 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fb,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM SKIN TONE, LIGHT SKIN TONE",People & Body,Neutral
🧑🏽‍🤝‍🧑🏼,0x1f9d1 0x1f3fd 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fc,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM SKIN TONE, MEDIUM-LIGHT SKIN TONE",People & Body,Neutral
🧑🏽‍🤝‍🧑🏽,0x1f9d1 0x1f3fd 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fd,1000,100,400,500,PEOPLE HOLDING HANDS: MEDIUM SKIN TONE,People & Body,Neutral
🧑🏽‍🤝‍🧑🏾,0x1f9d1 0x1f3fd 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fe,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
🧑🏽‍🤝‍🧑🏿,0x1f9d1 0x1f3fd 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3ff,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM SKIN TONE, DARK SKIN TONE",People & Body,Neutral
🧑🏾‍🤝‍🧑🏻,0x1f9d1 0x1f3fe 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fb,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-DARK SKIN TONE, LIGHT SKIN TONE",People & Body,Neutral
🧑🏾‍🤝‍🧑🏼,0x1f9d1 0x1f3fe 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fc,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-DARK SKIN TONE, MEDIUM-LIGHT SKIN TONE",People & Body,Neutral
🧑🏾‍🤝‍🧑🏽,0x1f9d1 0x1f3fe 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fd,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-DARK SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
🧑🏾‍🤝‍🧑🏾,0x1f9d1 0x1f3fe 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fe,1000,100,400,500,PEOPLE HOLDING HANDS: MEDIUM-DARK SKIN TONE,People & Body,Neutral
🧑🏾‍🤝‍🧑🏿,0x1f9d1 0x1f3fe 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3ff,1000,100,400,500,"PEOPLE HOLDING HANDS: MEDIUM-DARK SKIN TONE, DARK SKIN TONE",People & Body,Neutral
🧑🏿‍🤝‍🧑🏻,0x1f9d1 0x1f3ff 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fb,1000,100,400,500,"PEOPLE HOLDING HANDS: DARK SKIN TONE, LIGHT SKIN TONE",People & Body,Neutral
🧑🏿‍🤝‍🧑🏼,0x1f9d1 0x1f3ff 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fc,1000,100,400,500,"PEOPLE HOLDING HANDS: DARK SKIN TONE, MEDIUM-LIGHT SKIN TONE",People & Body,Neutral
🧑🏿‍🤝‍🧑🏽,0x1f9d1 0x1f3ff 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fd,1000,100,400,500,"PEOPLE HOLDING HANDS: DARK SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
🧑🏿‍🤝‍🧑🏾,0x1f9d1 0x1f3ff 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3fe,1000,100,400,500,"PEOPLE HOLDING HANDS: DARK SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
🧑🏿‍🤝‍🧑🏿,0x1f9d1 0x1f3ff 0x200d 0x1f91d 0x200d 0x1f9d1 0x1f3ff,1000,100,400,500,PEOPLE HOLDING HANDS: DARK SKIN TONE,People & Body,Neutral
👭,0x1f46d,1000,100,400,500,WOMEN HOLDING HANDS,People & Body,Neutral
👭🏻,0x1f46d 0x1f3fb,1000,100,400,500,WOMEN HOLDING HANDS: LIGHT SKIN TONE,People & Body,Neutral
👩🏻‍🤝‍👩🏼,0x1f469 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fc,1000,100,400,500,"WOMEN HOLDING HANDS: LIGHT SKIN TONE, MEDIUM-LIGHT SKIN TONE",People & Body,Neutral
👩🏻‍🤝‍👩🏽,0x1f469 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fd,1000,100,400,500,"WOMEN HOLDING HANDS: LIGHT SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
👩🏻‍🤝‍👩🏾,0x1f469 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fe,1000,100,400,500,"WOMEN HOLDING HANDS: LIGHT SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
👩🏻‍🤝‍👩🏿,0x1f469 0x1f3fb 0x200d 0x1f91d 0x200d 0x1f469 0x1f3ff,1000,100,400,500,"WOMEN HOLDING HANDS: LIGHT SKIN TONE, DARK SKIN TONE",People & Body,Neutral
👩🏼‍🤝‍👩🏻,0x1f469 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fb,1000,100,400,500,"WOMEN HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, LIGHT SKIN TONE",People & Body,Neutral
👭🏼,0x1f46d 0x1f3fc,1000,100,400,500,WOMEN HOLDING HANDS: MEDIUM-LIGHT SKIN TONE,People & Body,Neutral
👩🏼‍🤝‍👩🏽,0x1f469 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fd,1000,100,400,500,"WOMEN HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, MEDIUM SKIN TONE",People & Body,Neutral
👩🏼‍🤝‍👩🏾,0x1f469 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f469 0x1f3fe,1000,100,400,500,"WOMEN HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, MEDIUM-DARK SKIN TONE",People & Body,Neutral
👩🏼‍🤝‍👩🏿,0x1f469 0x1f3fc 0x200d 0x1f91d 0x200d 0x1f469 0x1f3ff,1000,100,400,500,"WOMEN HOLDING HANDS: MEDIUM-LIGHT SKIN TONE, DARK SKIN TONE",People & Body,Neutral
